Date,"",Channel,Type,Location,Subs Before,Subs After,Subs Today,Uploads Before,Uploads Today
08/08/2017,"<img src= ""https://yt3.ggpht.com/-QfFnPZn6UC8/AAAAAAAAAAI/AAAAAAAAAAA/b8g0ExWhOtM/s88-c-k-no-mo-rj-c0xffffff/photo.jpg"">","<a href= ""https://www.youtube.com/channel/UClW4jraMKz6Qj69lJf-tODA""target=""_blank"">YoungBoy Never Broke Again</a>",Artist,USA,"357,149","362,086","402,878",99,110
08/09/2017,"<img src= ""https://yt3.ggpht.com/-CrTbuPXFXmk/AAAAAAAAAAI/AAAAAAAAAAA/OOoh4KmhIP0/s88-c-k-no-mo-rj-c0xffffff/photo.jpg"">","<a href= ""https://www.youtube.com/channel/UCc2-xT3ub5IhGoYae8-GjWA""target=""_blank"">Questions for Science</a>",Creator,USA,"53,616","58,741","67,995",50,51
08/10/2017,"<img src= ""https://yt3.ggpht.com/-qY-66wtd_54/AAAAAAAAAAI/AAAAAAAAAAA/49zpO8kvNzo/s88-c-k-no-mo-rj-c0xffffff/photo.jpg"">","<a href= ""https://www.youtube.com/channel/UCHCpzIojIqaV_NL2RUp237g""target=""_blank"">JonPardiVEVO</a>",Artist,USA,"159,058","159,828","162,921",34,34
08/11/2017,"<img src= ""https://yt3.ggpht.com/-NdFaDBCmdWY/AAAAAAAAAAI/AAAAAAAAAAA/Stcmql0LPtk/s88-c-k-no-mo-rj-c0xffffff/photo.jpg"">","<a href= ""https://www.youtube.com/channel/UC178kThBUvGNps5cabRP_2Q""target=""_blank"">The Dark Den</a>",Creator,USA,"37,947","41,322","58,196",126,129
08/12/2017,"<img src= ""https://yt3.ggpht.com/-R0r434WaRv0/AAAAAAAAAAI/AAAAAAAAAAA/eSUMh9HWobg/s88-c-k-no-mo-rj-c0xffffff/photo.jpg"">","<a href= ""https://www.youtube.com/channel/UCBTPbSYpsY9keVvoNKdJ_Vw""target=""_blank"">dejloafVEVO</a>",Artist,USA,"685,874","687,378","691,608",15,15
08/09/2017,"<img src= ""https://yt3.ggpht.com/-gLf0QixFBE8/AAAAAAAAAAI/AAAAAAAAAAA/vKji4AxYwBs/s88-c-k-no-mo-rj-c0xffffff/photo.jpg"">","<a href= ""https://www.youtube.com/evemartel""target=""_blank"">Eve Martel</a>",Creator,Canada,"7,450","8,187","11,575",384,392
08/13/2017,"","<a href= ""https://twitter.com/CreatorOnRise""target=""_blank"">If you know who it was tweet at me!</a>","","","","","","",""
08/14/2017,"","<a href= ""https://twitter.com/CreatorOnRise""target=""_blank"">If you know who it was tweet at me!</a>","","","","","","",""
08/15/2017,"<img src= ""https://yt3.ggpht.com/-9g6bB4hFQmU/AAAAAAAAAAI/AAAAAAAAAAA/bV6W8NH-WH8/s88-c-k-no-mo-rj-c0xffffff/photo.jpg"">","<a href= ""https://www.youtube.com/channel/UCYIRsOPIs2LCHcAp-BMheFg""target=""_blank"">blackbearVEVO</a>",Artist,USA,"126,784","126,784","136,645",1,1
08/16/2017,"<img src= ""https://yt3.ggpht.com/-v2q0wArndKM/AAAAAAAAAAI/AAAAAAAAAAA/GG2B4dFkMJ0/s88-c-k-no-mo-rj-c0xffffff/photo.jpg"">","<a href= ""https://www.youtube.com/channel/UCPQ-f1KEJi-a49SLgYHifUA""target=""_blank"">Olivia Vargus</a>",Creator,USA,"41,691","46,014","51,085",40,41
08/17/2017,"<img src= ""https://yt3.ggpht.com/-ggSdlby3lZ4/AAAAAAAAAAI/AAAAAAAAAAA/yV22pgRz6UQ/s88-c-k-no-mo-rj-c0xffffff/photo.jpg"">","<a href= ""https://www.youtube.com/user/CollinRocka/videos""target=""_blank"">Collin Abroadcast</a>",Creator,USA,"42,202","","45,790","",53
